G,Years,Days,Age,Team,Home,Win,Diff,Game Started,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,Total RB,AST,STL,BLK,TOV,PF,PTS,GmSc
72,24,40,24.10951403,CHI,1,1,19,1,40,13,24,0,2,7,9,0,1,1,8,4,1,1,3,33,29
73,24,42,24.11498973,CHI,1,1,26,1,34,12,18,0,0,12,14,0,3,3,4,3,1,4,2,36,30
74,24,43,24.11772758,CHI,0,0,-5,1,41,10,25,1,3,5,6,2,7,9,7,5,3,3,5,26,22.6
75,24,45,24.12320329,CHI,0,0,-4,1,45,13,22,1,2,5,5,1,1,2,7,2,1,4,4,32,24.8
76,24,46,24.12594114,CHI,0,0,-13,1,35,9,24,0,1,13,13,5,1,6,7,1,0,1,3,31,25.3
77,24,49,24.13415469,CHI,1,1,30,1,26,13,21,0,0,13,16,2,3,5,4,4,1,3,0,39,35.1
78,24,52,24.14236824,CHI,0,0,-2,1,50,11,31,0,1,12,15,3,3,6,10,3,1,3,3,34,25
79,24,54,24.14784394,CHI,1,1,21,1,42,19,27,0,0,15,18,2,2,4,8,4,2,3,2,53,49.7
80,24,55,24.15058179,CHI,0,1,7,1,41,16,31,0,1,18,22,1,8,9,4,4,3,1,5,50,42.1
81,24,58,24.15879535,CHI,1,0,-3,1,41,22,38,0,3,17,21,5,5,10,1,4,1,3,3,61,47.8
82,24,59,24.1615332,CHI,0,0,-3,1,25,5,15,0,0,7,7,1,3,4,8,0,2,1,2,17,15.3
1,24,263,24.72005476,CHI,1,1,10,1,38,15,25,0,0,6,10,2,3,5,3,6,4,2,3,36,32.9
2,24,266,24.72826831,CHI,0,1,10,1,42,11,23,1,3,6,9,0,6,6,7,1,1,3,3,29,20.3
3,24,267,24.73100616,CHI,0,1,9,1,40,10,20,0,1,11,13,1,2,3,4,2,0,5,4,31,19.7
4,24,269,24.73648186,CHI,1,1,18,1,35,10,19,0,0,16,17,3,4,7,5,6,1,3,1,36,36.4
5,24,270,24.73921971,CHI,1,0,-1,1,40,14,29,0,0,9,11,3,2,5,5,4,1,3,3,37,28.2
6,24,273,24.74743326,CHI,1,1,4,1,36,10,18,0,0,6,6,0,3,3,7,2,1,3,3,26,21.7
7,24,274,24.75017112,CHI,0,1,2,1,40,9,21,0,1,12,12,1,2,3,8,3,1,2,3,30,26.3
8,24,276,24.75564682,CHI,1,1,2,1,40,10,22,0,0,13,14,0,7,7,7,4,4,2,3,33,31.8
9,24,277,24.75838467,CHI,1,0,-12,1,44,17,38,0,2,15,17,2,4,6,8,6,1,4,6,49,36.9
10,24,279,24.76386037,CHI,0,1,5,1,41,12,26,0,0,7,10,4,6,10,3,4,0,5,5,31,20.1
11,24,281,24.76933607,CHI,0,1,2,1,39,13,24,0,1,7,8,1,2,3,6,3,1,1,5,33,27.2
12,24,283,24.77481177,CHI,0,0,-1,1,45,8,20,0,1,9,9,1,5,6,9,3,1,3,2,25,22.6
13,24,284,24.77754962,CHI,0,1,12,1,41,12,22,0,1,10,10,3,4,7,6,4,2,7,4,34,27.7
14,24,287,24.78576318,CHI,0,1,1,1,40,6,15,0,0,4,6,0,6,6,9,3,1,3,2,16,15.1
15,24,288,24.78850103,CHI,0,1,4,1,39,17,27,0,0,13,16,2,2,4,9,3,3,2,4,47,43.5
16,24,290,24.79397673,CHI,0,0,-16,1,35,9,15,1,1,4,5,1,3,4,5,4,0,4,4,23,19.2
17,24,291,24.79671458,CHI,0,0,-9,1,40,15,22,0,2,10,12,1,1,2,8,1,0,6,3,40,30.2
18,24,294,24.80492813,CHI,1,0,-13,1,42,14,26,0,1,5,6,1,4,5,10,3,3,7,4,33,25.4
19,24,296,24.81040383,CHI,1,1,6,1,40,11,18,0,0,10,11,1,6,7,4,3,1,3,2,32,28.6
20,24,298,24.81587953,CHI,1,1,9,1,40,16,28,0,0,12,12,0,3,3,9,5,5,3,3,44,42.3
21,24,301,24.82409309,CHI,0,0,-4,1,50,12,26,1,2,13,16,3,5,8,12,3,1,2,6,38,34.7
22,24,303,24.82956879,CHI,1,1,11,1,41,20,31,0,0,12,12,0,3,3,6,4,1,2,2,52,45.3
