Age,Team,Home,Win,Game Started,Total RB,AST,PTS
25.78302533,CHI,0,0,1,10,7,26
25.78576318,CHI,0,0,1,8,5,33
25.79397673,CHI,0,1,1,11,6,39
25.80219028,CHI,1,1,1,9,5,38
25.80492813,CHI,0,0,1,7,7,18
25.81040383,CHI,1,1,1,11,5,35
25.81314168,CHI,1,1,1,11,4,38
25.82135524,CHI,1,0,1,14,6,28
25.82956879,CHI,1,1,1,7,7,28
25.83230664,CHI,0,1,1,6,5,36
25.84052019,CHI,1,1,1,7,8,42
25.84873374,CHI,0,0,1,5,4,33
25.85968515,CHI,1,0,1,12,4,43
25.86516085,CHI,1,1,1,9,3,37
25.8678987,CHI,0,1,1,7,4,31
25.8788501,CHI,1,1,1,10,11,41
25.8843258,CHI,0,0,1,11,7,32
25.88706366,CHI,1,0,1,5,4,27
25.89801506,CHI,0,1,1,10,9,48
25.90075291,CHI,0,1,1,4,10,24
25.90622861,CHI,1,1,1,12,11,38
25.91170431,CHI,1,1,1,9,11,42
25.91718001,CHI,1,1,1,6,13,22
25.92265572,CHI,0,1,1,5,7,34
25.92813142,CHI,1,0,1,14,8,53
25.93634497,CHI,1,1,1,3,6,24
25.93908282,CHI,0,0,1,6,12,33
25.94455852,CHI,1,1,1,11,9,33
25.95550992,CHI,1,0,1,12,10,21
25.96098563,CHI,1,1,1,7,8,40
25.96372348,CHI,0,0,1,6,10,29
25.96919918,CHI,0,0,1,6,10,28
25.97467488,CHI,1,1,1,7,5,32
25.98015058,CHI,0,1,1,6,9,23
25.99383984,CHI,1,0,1,5,3,32
25.99931554,CHI,1,1,1,8,5,50
26.0054757,CHI,0,1,1,3,9,23
26.00821355,CHI,1,1,1,6,7,33
26.01368925,CHI,0,1,1,4,5,24
26.01916496,CHI,1,1,1,4,8,33
26.02190281,CHI,0,0,1,5,3,18
26.03011636,CHI,1,1,1,6,8,24
26.03832991,CHI,1,1,1,8,9,28
26.04106776,CHI,0,0,1,3,10,28
26.04928131,CHI,1,0,1,11,4,34
26.06023272,CHI,1,1,1,8,15,18
26.06570842,CHI,1,1,1,14,14,21
26.07118412,CHI,0,0,1,6,12,28
26.07665982,CHI,1,1,1,5,9,33
26.07939767,CHI,0,0,1,6,10,28
26.08761123,CHI,0,1,1,8,16,21
26.09034908,CHI,0,1,1,10,9,32
26.09582478,CHI,0,1,1,7,17,34
26.09856263,CHI,0,1,1,12,12,21
26.10677618,CHI,1,1,1,12,11,33
26.10951403,CHI,0,1,1,10,10,32
26.11498973,CHI,1,0,1,10,10,37
26.12046543,CHI,1,1,1,14,12,27
26.12594114,CHI,1,1,1,10,12,33
26.13141684,CHI,0,0,1,13,10,31
26.13415469,CHI,1,0,1,7,11,40
26.13963039,CHI,0,0,1,10,12,40
26.15058179,CHI,0,0,1,11,13,47
26.15331964,CHI,0,0,1,10,12,29
26.15879535,CHI,0,0,1,3,3,22
26.1615332,CHI,1,1,1,11,9,34
26.16974675,CHI,0,0,1,5,4,30
26.1724846,CHI,1,1,1,14,11,34
